company_fullname,tweet_text,favorite_count,created_at,hashtags,tweet_id,lang,urls,user_followers,user_screen_name,crawling_time
MINHO,"RT @LeeRan1214: Tomorrow, a new soloist will be born. RISE FLAMING SOLOIST CHOI MINHO https://t.co/FpiznfUNk0",0,Wed Mar 27 23:59:30 +0000 2019,,1111055173185650690,en,,913,glitteryshawol,2019-03-31|22:57
MINHO,"@yunso_STARMY my firsts were chan and jeongin, and now it’s minho ♡ 

let’s just say they did catch my eye first, but minho’s determination and personality,, that’s what made me love him more :&gt; chan’s my second tho, and minho’s just too cute and relatable not to make my ult :&lt; ♡ https://t.co/nKeE0yltjd",1,Wed Mar 27 23:59:30 +0000 2019,,1111055171738435584,en,,397,minhotline,2019-03-31|22:57
MINHO,"RT @strayactivities: minho getting scared by loud noises (2019)
 https://t.co/UKzx0k2rdf",0,Wed Mar 27 23:59:27 +0000 2019,,1111055161852452864,en,,21,TheSunGoesMoon,2019-03-31|22:57
MINHO,"RT @unverskz: me: i hate MEN.

hyunjin: :(
changbin: :(
jisung: :(
felix: :(
seungmin: :(
woojin: :(
chan: :(
minho: :( 
jeongin: :(

me: o…",0,Wed Mar 27 23:59:24 +0000 2019,,1111055147545829378,en,,363,snppyghost,2019-03-31|22:57
MINHO,"RT @felixdeepvoice: hello! this is new fan account so rt/like if you stan

STRAY KIDS
SKZ
3RACHA
BANGCHAN
CHANGBIN
SEUNGMIN
FELIX
MINHO
JEO…",0,Wed Mar 27 23:59:22 +0000 2019,,1111055138167218177,en,,310,peachyfan_95,2019-03-31|22:57
MINHO,RT @minhospics: Minho has talked about EXO's Kai in a recent interview. He said that he's the senior idol dancer he respects the most 💪🏼 ht…,0,Wed Mar 27 23:59:20 +0000 2019,,1111055130969829381,en,,117,withlovestay,2019-03-31|22:57
MINHO,RT @hqminho: shawols and non shawols pls support minho's sm station song tomorrow at 6pm kst!!! it's gonna be his first ever solo release a…,0,Wed Mar 27 23:59:18 +0000 2019,,1111055124120694785,en,,1263,softkaimin,2019-03-31|22:57
MINHO,"RT @SMTOWNGLOBAL: [STATION 3] MINHO 민호 'I’m Home (그래)' MV Teaser

🎧 민호 (MINHO) 'I'm Home (그래)' : 2019.3.28. 6PM (KST)

#민호 #MINHO #Im_Home…",0,Wed Mar 27 23:59:18 +0000 2019,"민호,MINHO,Im_Home",1111055121880760320,ko,,67,go5318,2019-03-31|22:57
MINHO,"RT @apollolino: only those who remember minho saying ""new york shitty"" can rt this",0,Wed Mar 27 23:59:17 +0000 2019,,1111055120467410949,en,,68,furryinjun,2019-03-31|22:57
MINHO,"RT @SMTOWNGLOBAL: [STATION 3] MINHO 민호 'I’m Home (그래)' MV Teaser

🎧 민호 (MINHO) 'I'm Home (그래)' : 2019.3.28. 6PM (KST)

#민호 #MINHO #Im_Home…",0,Wed Mar 27 23:59:13 +0000 2019,"민호,MINHO,Im_Home",1111055102448672768,ko,,1323,justflybabe,2019-03-31|22:57
